,판매처명,도로명 주소,위도,경도
0,진로마트,경기도 과천시 문원청계4길 4 (문원동),37.4243175219,127.0091970385
1,GS25(과천삼성점),경기도 과천시 별양로 46,37.4231403264,126.9929640354
2,GS25(과천양지점),경기도 과천시 양지마을1로 47(과천동),37.4498713764,126.9984817985
3,모닝글로리,"경기도 과천시 별양로 28 B동1095 (원문동, 래미안 슈르)",37.421221953,126.9912252368
4,새곡마을 구판장,경기도 과천시 매봉로31 (문원동),37.4129831753,126.9953716648
5,주암마트,경기도 과천시 장군마을길 39 (주암동),37.4624338519,127.0330560614
6,CU(선바위점),경기도 과천시 뒷골로 6 (과천동),37.452812023,127.0011304428
7,과천종합상사,경기도 과천시 부림로 25 (부림동),37.4382532878,126.9986045569
8,DC마트,경기도 과천시 중앙로 135 (중앙동),37.4285875748,126.9915596827
9,세븐일레븐(관문체육공원점),경기도 과천시 부림4길 34,37.4389499951,126.9971077573
10,세븐일레븐(문원점),경기도 과천시 별양로 64 (별양동),37.4244787207,126.993983492
11,홈마트,경기도 과천시 부림로 16 (부림동),37.4375565679,126.997976183
12,CU(중앙공원),경기도 과천시 별양상가1로 31,37.4287117385,126.9931864222
13,CU(과천여울),경기도 과천시 문원로 114 (문원동),37.4243761065,127.0081116651
14,세븐일레븐(산과들점),경기도 과천시 향촌길 5-1,37.4266855315,126.9957318032
15,이마트24,경기도 과천시 별양상가1로 30,37.4282707107,126.9933363288
16,인더라인,경기도 과천시 가일로 40,37.4164700065,126.9804651283
17,CU(중앙점),경기도 과천시 중앙로 131 (중앙동),37.4283615586,126.9914029751
18,GS25(레미안점),"경기도 과천시 별양로 28 B동1086 (원문동, 래미안 슈르)",37.421221953,126.9912252368
19,롯데마트,경기도 과천시 별양상가2로 20 (별양동),37.4268251693,126.992554906
20,문원마트,경기도 과천시 문원청계5길 2 (문원동),37.4243911305,127.0095582218
21,소망마트,경기도 과천시 문원청계4길 19,37.4236974229,127.0096418597
22,GS슈퍼(3단지),"경기도 과천시 별양로 28 지하1층 B23(원문동, 래미안 슈르)",37.421221953,126.9912252368
23,공원슈퍼,경기도 과천시 공원마을1길 28 (문원동),37.4291867984,127.0031748134
24,CU(과천양지마을점),경기도 과천시 양지마을1로 36,37.450262201,126.9971224838
25,CU(과천주공8단지점),경기도 과천시 별양로 184-1 1층,37.4343569006,126.9980201618
26,GS25(과천빌리지점),과천시 뒷고로 22-21 (과천동),37.4543368611,127.0014934293
27,CU(과천문원공원점),경기도 과천시 공원마을길 8 (문원동),37.4290070997,127.0033116332
28,용마트,경기도 과천시 별양상가 2로 14,37.4273318608,126.9930035831
29,과천농협,경기도 과천시 별양로 178 (부림동),37.4336546217,126.998205706
30,마을 구판장,경기도 과천시 사기막길 18 (문원동),37.4207937016,126.9985853748
31,강남슈퍼,경기도 과천시 중앙로 406 (과천동),37.4495233053,126.9992981375
32,CU(부림점),경기도 과천시 부림로 21 (부림동),37.4380352389,126.9981990662
33,CU 과천광창점,경기도 과천시 광창로 40 (과천동),37.4483508988,127.009899293
34,CU(과천삼포점),"경기도 과천시 삼부골로 26, 1층",37.4469245702,127.0225819335
35,세븐일레븐(중앙공원),경기도 과천시 별양상가1로 35 (별양동),37.428542082,126.993560552
36,CU(레미안점),경기도 과천시 관문로 161 (중앙동),37.4355136635,126.9944969982
37,과천식자재마트,"경기도 과천시 별양로 28 지하1층 B20(원문동, 래미안 슈르)",37.421221953,126.9912252368
38,세븐일레븐,"경기도 과천시 별양로 28 1019,1020호(원문동, 래미안 슈르)",37.421221953,126.9912252368
39,GS25(추사로점),경기도 과천시 추사로 74 (주암동),37.4523549697,127.0281100736
40,CU(양재주암점),경기도 과천시 장군마을길 2 (주암동),37.4638187498,127.0345287883
41,이마트,경기도 과천시 별양상가3로 11 (별양동),37.4262633755,126.9918692595
42,뒷골상회,경기도 과천시 뒷골2로 3 (과천동),37.4530315873,127.0018978128
43,국민마트,경기도 과천시 관문로 130 (중앙동),37.4330197165,126.9930556474
44,동성슈퍼,경기도 과천시 장군마을1길 25 (주암동),37.4633459048,127.0334800883
45,GS중앙점,경기도 과천시 중앙로 137 105호,37.4288046746,126.9917390568
46,CU(과천주암),경기도 과천시 추사로 126 (주암동),37.4566081798,127.0300620491
47,과천타워,경기도 과천시 별양상가1로 10 과천타워,37.4269850323,126.9920000106
48,하람(일신건재),경기도 과천시 양지마을 1로 49,37.4497187243,126.9986184872
49,GS25(과천센트럴점),경기도 과천시 별양로 163,37.431095433,126.9983697288
