,판매처명,도로명 주소,위도,경도
0,지에스25 밀양송진점,경상남도 밀양시 삼랑진읍 삼랑진로 194,35.39456973,128.8362511
1,금곡철물굿마트 ,경상남도 밀양시 산외면 산외로 730,35.5121541,128.8415417
2,세븐일레븐 밀양교동스마일점,경상남도 밀양시 교동로 183-1,35.51108347,128.7569147
3,씨유밀성점,경상남도 밀양시 북성로6길 2,35.49897978,128.750021
4,삼랑진홈마트,경상남도 밀양시 삼랑진읍 외송3길 12,35.39708986,128.8373646
5,세븐일레븐 암새들점,경상남도 밀양시 용평로 194,35.48939506,128.7717181
6,밀양상회,경상남도 밀양시 터미널2길 8-1,35.50033793,128.7455438
7,알프스마트,경상남도 밀양시 산내면 도래재로 953,35.58704594,128.9531291
8,강변휴게실마트,경상남도 밀양시 단장면 표충로 59,35.50998696,128.8462541
9,씨유밀양내이센터점,경상남도 밀양시 시청서길 22,35.50230114,128.7430632
10,마이다스,경상남도 밀양시 상남면 예림1길 4,35.46640586,128.7594239
11,㈜서원유통 탑마트 밀양가곡점,경상남도 밀양시 가곡7길 24,35.47381959,128.765842
12,대왕슈퍼,경상남도 밀양시 밀양향교1길 2-15,35.50422989,128.7539123
13,상남유통,경상남도 밀양시 미리벌중앙로9길 6,35.48558929,128.746637
14,씨유밀양미리벌중앙로점,경상남도 밀양시 미리벌중앙로 58,35.48317863,128.7494869
15,필프라이스(예림),경상남도 밀양시 상남면 밀양대로 1519,35.46684123,128.759849
16,금박상회,경상남도 밀양시 산외면 산외로 700,35.51083422,128.8386628
17,우신용마트,경상남도 밀양시 교동로 76,35.50792818,128.7538271
18,세븐일레븐 밀양터미널점,경상남도 밀양시 북성로 7,35.49845781,128.7438495
19,씨유부대밀양캠퍼스점,경상남도 밀양시 삼랑진읍 숭진석탑길 70-36,35.4535115,128.8059711
20,미니스톱밀양행운점,경상남도 밀양시 백민로9길 16,35.50179925,128.7472377
21,이마트24 밀양산외카페점,경상남도 밀양시 산외면 화동강길 5,35.50654138,128.7878958
22,GS25밀양수산점,경상남도 밀양시 하남읍 수산로 33-1,35.37554553,128.7104259
23,모든할인마트,경상남도 밀양시 상동면 상동로 581,35.55494114,128.7614692
24,씨유 밀양대로,경상남도 밀양시 밀양대로 1757,35.4824147,128.7525541
25,GS25시 밀양점,경상남도 밀양시 약산로 53,35.49294457,128.7508083
26,성훈슈퍼,경상남도 밀양시 상남면 밀양대로 1546-2,35.46844564,128.7620565
27,춘복슈퍼,경상남도 밀양시 교동로4길 3-1,35.51251746,128.7550911
28,GS25밀양내이대로점,경상남도 밀양시 북성로 52,35.49863627,128.7482677
29,미니스톱 밀양삼문,경상남도 밀양시 미리벌중앙로 10-2,35.47924726,128.7521444
30,나리슈퍼,경상남도 밀양시 하남읍 수산복개길 31-1,35.3748788,128.707083
31,씨유밀양미리벌점,경상남도 밀양시 미리벌로 26,35.48194816,128.7499655
32,씨유밀양예림점,경상남도 밀양시 상남면 밀양대로 1531-1,35.46777626,128.7605801
33,씨유밀양점,경상남도 밀양시 시청로1길 21,35.50332602,128.7427905
34,필프라이스,경상남도 밀양시 산내면 산내로 357,35.58710534,128.8819842
35,세븐일레븐 밀양표충사점,경상남도 밀양시 단장면 표충로 868,35.52373926,128.9104199
36,행복25시,경상남도 밀양시 삼문중앙로3길 42,35.48625836,128.7548436
37,탑할인마트,경상남도 밀양시 상남면 상남로 814,35.43101811,128.7647392
38,서원유통 탑마트 신촌점,경상남도 밀양시 창밀로 3561,35.50464765,128.7385524
39,훼미리마트,경상남도 밀양시 중앙로 55,35.47295685,128.7713233
40,성조럭키슈퍼,경상남도 밀양시 삼문강변로 58,35.47899999,128.7565629
41,세븐일레븐 밀양상남대로점,경상남도 밀양시 상남면 운하길 1,35.46477044,128.7573376
42,바이더웨이밀양삼문점,경상남도 밀양시 중앙로 238-6,35.48511189,128.7584885
43,GS25 밀양영광점,경상남도 밀양시 북성로 19,35.49861043,128.7447492
44,씨유밀양양동리점,경상남도 밀양시 하남읍 동명길 1,35.37350373,128.7149304
45,다있소,경상남도 밀양시 산외면 밀양대로 3400-127,35.54355957,128.8602506
46,럭키장식,경상남도 밀양시 상설시장1길 8-1,35.49270866,128.7520734
47,드림마트,경상남도 밀양시 산외면 표충로 14,35.51199185,128.8419752
48,씨유 밀양삼문점,경상남도 밀양시 삼문로 40,35.48776295,128.7542057
49,미리벌중앙로3길27,경상남도 밀양시 미리벌중앙로3길 27,35.48171198,128.7468431
