,판매처명,도로명주소,위도,경도
0,세븐일레븐 춘천우미린점,"강원도 춘천시 보안길 36 (후평동, 우미린뉴시티), 상가1동 101, 102호",37.877561,127.753119
1,CU 춘천효자봉의점,춘천시 성심로 69 2층,37.877708,127.741661
2,이마트24 춘천한숲시티점,"강원도 춘천시 안마산로 115, 상가에이동 106,107호 (퇴계동)",37.856101,127.72953
3,지에스이십오 춘천만천사거리점,"강원도 춘천시 동면 순환대로 1065, 1층",37.874967,127.776601
4,퇴계 현대마트,춘천시 춘주로 162 현대아파트 상가 001호,37.857679,127.726365
5,아이들세상,강원도 춘천시 퇴계로 220-16 (석사동),37.855021,127.742171
6,미니스톱 한림대점1호,강원도 춘천시 삭주로 78 (교동),37.883388,127.739424
7,GS25 봄내박물관점,강원도 춘천시 우석로 46 (석사동),37.863122,127.750872
8,주식회사 로얄할인마트,강원도 춘천시 남산면 강촌로 86,37.811525,127.634972
9,CU춘천우두점,강원도 춘천시 영서로2753번길 36 (우두동),37.90075,127.72723
10,신동군마트,강원도 춘천시 옥산포길 40-14 (사농동),37.926188,127.723849
11,지영상회,강원도 춘천시 가연길16번길 21-6 (소양로4가),37.879014,127.721706
12,세븐일레븐 춘천천전리점,강원도 춘천시 신북읍 신샘밭로 648,37.929588,127.781624
13,세븐일레븐 춘천칠전대박점,강원도 춘천시 칠전동길 50(칠전동),37.842571,127.715729
14,동춘천농협하나로마트 거두점,강원도 춘천시 동내면 공지로 80,37.854427,127.750867
15,GS25춘천미소점,"강원도 춘천시 근화길15번길 43 (근화동), 1층 1호",37.872333,127.719969
16,씨유 춘천명동점,강원도 춘천시 중앙로 63-1 (중앙로2가),37.879386,127.726808
17,현진마트,"강원도 춘천시 지석로 63, 상가동 107,108호 (석사동, 현진에버빌2차)",37.851507,127.742399
18,열린스토어,강원도 춘천시 소양고개길 47-1 (요선동),37.882333,127.726968
19,동산할인마트,강원도 춘천시 동내면 영서로 1777-1,37.835469,127.75986
20,소양영외마트,강원도 춘천시 충열로 80 소양아파트 내,37.899962,127.737217
21,이마트24 한림대점,"강원도 춘천시 후석로441번길 31(후평동), 1층",37.887017,127.742686
22,믿음상회,강원도 춘천시 명동길29번길 4-13 (죽림동),37.877825,127.725677
23,은하마트,강원도 춘천시 청운길29번길 2 (효자동),37.868157,127.733669
24,CU 춘천퇴계점,강원도 춘천시 행촌로 30 (퇴계동),37.85926,127.724337
25,이마트24 춘천성심로점,"강원도 춘천시 성심로 92 (효자동), 1층",37.876215,127.743155
26,후평프라자,강원도 춘천시 삭주로128번길 11 (후평동),37.884194,127.74531
27,이마트24 춘천퇴계무릉점,"강원도 춘천시 남춘로36번길 62 (퇴계동), 1층",37.860649,127.736583
28,지에스25(GS25) 춘천후레쉬점,강원도 춘천시 서부대성로 186 (효자동),37.875008,127.739158
29,GS25 강촌제일점,춘천시 남산면 강촌로 262,37.796475,127.64011
30,미니스톱 춘천터미널점,강원도 춘천시 공지로 469 (근화동),37.874593,127.715334
31,세븐일레븐 춘천애막골점,춘천시 애막골길11번길 34,37.866992,127.753291
32,이마트 24 춘천신북점,춘천시 신북읍 신북로 30-4,37.927916,127.751849
33,마마트 엘타워점,"강원도 춘천시 공지로 455 (근화동) 112,112-1, 112-2",37.873956,127.716587
34,미니스톱 춘천후평사거리점,강원도 춘천시 후석로 355 (후평동),37.882505,127.747783
35,행복마트,강원도 춘천시 금강로13번길 10-1 (소양로3가),37.882715,127.724807
36,씨유춘천두미르2차점,"강원도 춘천시 중앙로154번길 33 (근화동), 1층",37.87811,127.716719
37,씨유 춘천거두오스타점,"강원도 춘천시 동내면 외솔길 51, 1층",37.856911,127.753927
38,세븐일레븐 온의점,강원도 춘천시 영서로2279번길 9 (온의동),37.864064,127.721068
39,세븐일레븐 춘천두산위브점,강원도 춘천시 동면 삭주로 224 1층,37.887341,127.755168
40,CU 춘천포스코점,강원도 춘천시 춘천로310번길 12 (후평동),37.880946,127.747663
41,CU 강원대점,"강원도 춘천시 백령로 29, 1층 (효자동)",37.866779,127.737914
42,GS25 춘천현주점,강원도 춘천시 후만로 33 (후평동) 주공6단지아파트 상가동 101호,37.873628,127.746597
43,(주)코리아유통 춘천지점,강원도 춘천시 남춘로 6 (퇴계동),37.861877,127.729964
44,CU 춘천현대점,강원도 춘천시 춘천로 177 (운교동),37.876627,127.733946
45,본전상회,강원도 춘천시 명동길 42-1 (중앙로2가),37.877471,127.724735
46,미니스톱 춘천교동점,강원도 춘천시 삭주로 45-1 (교동),37.882669,127.736073
47,봄내마트,강원도 춘천시 공지로 102 (석사동),37.855972,127.748964
48,미니스톱 춘천트루엘점,"강원도 춘천시 백령로 190 (후평동) 1층 103, 104호",37.876647,127.7472
49,에스제이유통(Story 24),춘천시 동면 삭주로 224,37.887341,127.755168
